gene,symbol,baseMean,HD.mean,Control.mean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000179023.7,KLHDC7A,18.86067856,55.26389245,4.002223919,2.569481307,0.47342931,5.427381133,5.72E-08,5.95E-06
ENSG00000158186.8,MRAS,6606.620807,8879.021311,5679.110398,0.68628351,0.126690206,5.417021009,6.06E-08,6.21E-06
ENSG00000213144.2,RP11-64B16.2,51.44598284,73.85204396,42.30065177,1.03434815,0.190921974,5.417648532,6.04E-08,6.21E-06
ENSG00000244187.2,TMEM141,864.9411411,691.0920074,935.8999712,-0.576195703,0.106364529,-5.417179101,6.05E-08,6.21E-06
ENSG00000260549.1,MT1L,102.50523,200.1838209,62.63641739,1.423415696,0.26271795,5.418037474,6.03E-08,6.21E-06
ENSG00000165071.10,TMEM71,27.69735364,48.18024812,19.33698855,1.224065836,0.226029367,5.415516805,6.11E-08,6.24E-06
ENSG00000131873.5,CHSY1,662.4421423,863.6045555,580.3350349,0.7686812,0.14199117,5.413584517,6.18E-08,6.29E-06
ENSG00000164949.3,GEM,253.8068778,424.4187985,184.1693591,1.39930099,0.258644403,5.41013444,6.30E-08,6.39E-06
ENSG00000165895.13,ARHGAP42,173.0393529,274.9860699,131.4284479,1.175856033,0.217421943,5.408175531,6.37E-08,6.43E-06
ENSG00000138356.9,AOX1,70.91835507,146.4673176,40.08204384,1.590643659,0.294392401,5.403141021,6.55E-08,6.57E-06
ENSG00000143546.5,S100A8,206.4553347,474.7702079,96.93905995,2.170316116,0.401673227,5.403188395,6.55E-08,6.57E-06
ENSG00000159216.13,RUNX1,142.1729731,218.717571,110.9302801,1.422863492,0.26341176,5.401670335,6.60E-08,6.60E-06
ENSG00000149289.6,ZC3H12C,584.0758332,730.9680674,524.1198192,0.723370831,0.134091382,5.39461089,6.87E-08,6.82E-06
ENSG00000163694.10,RBM47,45.97164932,77.92527704,32.92935229,1.561610397,0.28945076,5.395081342,6.85E-08,6.82E-06
ENSG00000188263.6,IL17REL,10.8007304,2.280376281,14.27842596,-2.203260637,0.408556766,-5.392789493,6.94E-08,6.86E-06
ENSG00000224066.1,RP4-622L5.7,29.55152325,16.01010312,35.07863351,-1.03892328,0.192721284,-5.390807183,7.01E-08,6.91E-06
ENSG00000152661.7,GJA1,13340.94912,19835.51229,10690.10701,1.263084217,0.234356341,5.389588406,7.06E-08,6.94E-06
ENSG00000107968.5,MAP3K8,192.8736387,290.8108819,152.8992538,1.129905173,0.209748358,5.386955991,7.17E-08,7.01E-06
ENSG00000137693.9,YAP1,1075.788825,1644.223965,843.7744817,1.23098491,0.228680607,5.382987764,7.33E-08,7.14E-06
ENSG00000168566.11,SNRNP48,550.7046394,696.2191258,491.3109714,0.652294586,0.121293513,5.377819211,7.54E-08,7.33E-06
ENSG00000110172.7,CHORDC1,1905.307676,2659.919604,1597.302808,0.823617437,0.153376373,5.369910768,7.88E-08,7.63E-06
ENSG00000241399.2,CD302,571.5660784,820.6167538,469.9127415,0.888870968,0.165608647,5.367298039,7.99E-08,7.71E-06
ENSG00000160862.8,AZGP1,489.0476563,806.2364725,359.5828334,1.520876172,0.283504067,5.364565625,8.11E-08,7.78E-06
ENSG00000170439.5,METTL7B,97.10798463,141.8651216,78.83976544,1.194290591,0.222619369,5.364720048,8.11E-08,7.78E-06
ENSG00000133639.3,BTG1,1266.663043,1783.259668,1055.807277,0.818163559,0.152669382,5.359054632,8.37E-08,7.99E-06
ENSG00000078804.8,TP53INP2,6501.307007,3430.57383,7754.667487,-1.377961414,0.257214789,-5.357240217,8.45E-08,8.02E-06
ENSG00000104447.7,TRPS1,614.5027375,806.4230051,536.1679344,0.891600265,0.166421969,5.357467345,8.44E-08,8.02E-06
ENSG00000166295.4,ANAPC16,1758.356833,2374.242349,1506.97499,0.64374619,0.120214997,5.354957414,8.56E-08,8.05E-06
ENSG00000183019.3,C19orf59,9.597020024,19.23224073,5.66427688,1.80019921,0.336225952,5.354135217,8.60E-08,8.05E-06
ENSG00000187446.7,CHP1,2947.804007,2418.93575,3163.668602,-0.533196574,0.099576295,-5.354653651,8.57E-08,8.05E-06
ENSG00000267653.1,RP1-193H18.3,9.396041858,19.33057315,5.341131128,1.950326875,0.364188944,5.355261076,8.54E-08,8.05E-06
ENSG00000103316.6,CRYM,3705.342081,2423.451988,4228.562528,-0.942607269,0.176182004,-5.350190406,8.79E-08,8.20E-06
ENSG00000145545.7,SRD5A1,571.7410076,448.1629218,622.1810426,-0.55846177,0.104435441,-5.347435333,8.92E-08,8.30E-06
ENSG00000197769.5,MAP1LC3C,11.99693858,23.64473165,7.24273733,1.521412623,0.284839249,5.341302598,9.23E-08,8.55E-06
ENSG00000132768.9,DPH2,561.1930296,468.7972791,598.9055808,-0.403257667,0.075547914,-5.337773692,9.41E-08,8.69E-06
ENSG00000124942.9,AHNAK,9570.149037,14157.48905,7697.765358,1.190373252,0.223067671,5.336377283,9.48E-08,8.73E-06
